I
810

2     22.32665300  114.19126800     20 377    37       0.000 RW    HONG KONG NDB
2     22.19849700  114.02308700      0 360    37       0.000 CC    CHEUNG CHAU NDB
4     22.32695500  114.19094100      0 10990  27     313.600 IHK   VHHX ILS/DME 31
4     22.33390800  114.20191200      0 11190  27      86.000 KL    VHHX ILS/DME 13
6     22.30670500  114.21214600      0 10990  27  300313.600 ---   VHHX ILS/DME 31
6     22.31906100  114.19817200      0 11190  27  310086.000 ---   VHHX ILS/DME 13
7     22.33066500  114.10042100     14 00000   0      86.120 ---   0 OM
7     22.23797100  114.28878800      0 00000   0     316.240 ---   0 OM
7     22.32683500  114.09240200     14 00000   0      86.120 ---   0 OM
8     22.33154000  114.16524800      0 00000   0      86.120 ---   0 MM
8     22.28456800  114.23827600      0 00000   0     316.240 ---   0 MM
12    22.30478400  114.21462000      0 10990  27       0.000 IHK   VHHX ILS/DME 31
12    22.32160900  114.19567900      0 11190  27       0.000 KL    VHHX ILS/DME 13
